Ensembl_ID	Phase	Gene_Name	Normalized_Values
ENSMUSG00000034334	7.9	AC154363.1	28,36,100,66,57,0,38,5
ENSMUSG00000024411	7.9	Aqp4	26,47,68,100,29,13,0,4
ENSMUSG00000017446	7.9	C1qtnf1	29,54,100,59,59,44,0,15
ENSMUSG00000030364	7.9	Clec2h	0,43,100,91,24,0,7,0
ENSMUSG00000031298	7.9	Gpr64	33,67,100,55,82,41,34,0
ENSMUSG00000041775	7.9	Mapk1ip1	0,43,100,71,21,14,20,18
ENSMUSG00000039282	7.9	Shprh	1,13,100,64,13,0,5,12
ENSMUSG00000038520	7.9	Tbc1d17	29,42,100,84,53,13,0,26
ENSMUSG00000005580	8.0	Adcy9	17,29,100,78,42,9,4,0
ENSMUSG00000036611	8.0	Eepd1	1,61,92,100,37,0,29,19
ENSMUSG00000032898	8.0	Fbxo21	10,25,100,84,22,0,7,8
ENSMUSG00000034837	8.0	Gnat1	0,78,69,100,48,19,8,7
ENSMUSG00000000693	8.0	Loxl3	8,68,86,100,42,18,6,0
ENSMUSG00000018143	8.0	Mafk	21,32,71,100,9,20,7,0
ENSMUSG00000078452	8.0	Raet1d	0,30,100,41,43,2,2,14
ENSMUSG00000066362	8.0	Rps13	37,48,59,100,59,0,13,42
ENSMUSG00000030849	8.1	Fgfr2	5,51,68,100,36,0,6,0
ENSMUSG00000044197	8.1	Gpr146	9,57,100,84,64,17,1,0
ENSMUSG00000020889	8.1	Nr1d1	0,22,100,96,14,3,0,1
ENSMUSG00000031618	8.1	Nr3c2	39,32,83,100,50,0,17,6
ENSMUSG00000026594	8.1	Ralgps2	35,39,100,89,42,23,39,0
ENSMUSG00000024785	8.1	Rcl1	12,67,100,98,78,0,7,35
ENSMUSG00000033965	8.1	Slc16a2	24,44,81,100,49,0,13,0
ENSMUSG00000047264	8.1	Zfp358	6,64,94,100,42,18,0,22
ENSMUSG00000071632	8.2	2510002D24Rik	29,58,100,91,65,33,0,37
ENSMUSG00000085535	8.2	AC156021.1	17,69,90,62,100,2,0,22
ENSMUSG00000002227	8.2	Mov10	16,60,100,78,78,25,14,0
ENSMUSG00000023495	8.2	Pcbp4	31,29,100,76,52,23,0,20
ENSMUSG00000025017	8.2	Pik3ap1	21,82,46,100,63,33,0,8
ENSMUSG00000019945	8.3	1700040L02Rik	16,37,84,100,43,10,0,5
ENSMUSG00000039914	8.3	Coq10a	42,23,100,86,56,13,26,0
ENSMUSG00000030131	8.3	Cpamd8	4,42,64,100,37,1,0,1
ENSMUSG00000022270	8.3	Fam134b	2,39,78,100,31,0,8,7
ENSMUSG00000078234	8.3	Klhdc7a	1,35,100,82,25,29,19,0
ENSMUSG00000030946	8.3	Lhpp	51,72,93,96,100,53,0,19
ENSMUSG00000017868	8.3	Sgk2	0,45,98,100,22,29,11,26
ENSMUSG00000035930	8.4	Chst4	27,39,63,100,58,0,14,10
ENSMUSG00000041842	8.4	Fhdc1	6,76,36,100,50,23,7,0
ENSMUSG00000038622	8.4	Med30	27,55,100,68,87,25,0,45
ENSMUSG00000085783	8.4	RP24-200D20.1	19,46,72,100,29,42,2,0
ENSMUSG00000064778	8.4	SNORD59	32,38,100,92,53,20,52,0
ENSMUSG00000021704	8.5	CT025667.1	0,42,79,100,30,12,23,3
ENSMUSG00000038545	8.5	Cul7	16,16,100,53,33,43,0,7
ENSMUSG00000041696	8.5	Rasl12	20,59,80,100,51,27,49,0
ENSMUSG00000032098	8.6	Treh	3,78,100,54,89,65,0,9
ENSMUSG00000058571	8.7	Gpc6	0,81,71,100,61,57,24,4
ENSMUSG00000037548	8.7	H2-DMb2	28,37,73,100,41,43,3,0
ENSMUSG00000028617	8.7	Lrrc42	0,41,68,100,46,17,1,7
ENSMUSG00000001156	8.7	Mxd1	18,41,39,100,32,25,18,0
ENSMUSG00000032042	8.7	Srpr	37,66,66,100,80,61,3,0
ENSMUSG00000049109	8.7	Themis	6,59,61,100,39,49,0,4
ENSMUSG00000035112	8.7	Wnk4	4,27,100,40,55,33,7,0
ENSMUSG00000031112	8.8	2610018G03Rik	21,52,89,82,100,21,58,0
ENSMUSG00000036304	8.8	Zdhhc23	59,46,71,100,62,56,39,0
ENSMUSG00000020014	8.9	4930485B16Rik	9,55,79,100,85,32,8,0
ENSMUSG00000086929	8.9	AL669855.4	5,52,100,99,52,80,9,0
ENSMUSG00000084241	8.9	AL732546.4	68,43,62,100,74,45,28,0
ENSMUSG00000066072	9.0	Cyp4a10	28,15,100,76,51,52,46,0
ENSMUSG00000027465	9.0	Tbc1d20	36,26,76,100,62,19,41,0
ENSMUSG00000029345	9.0	Tfip11	3,66,61,69,100,42,28,0
ENSMUSG00000031853	9.1	BC021891	0,60,58,100,44,79,55,1
ENSMUSG00000036840	9.1	Siah1a	4,47,100,58,81,69,55,0
ENSMUSG00000029640	9.1	Usp12	0,51,100,74,71,59,44,23
ENSMUSG00000037440	9.1	Vnn1	19,22,100,66,44,45,34,0
ENSMUSG00000015134	9.3	Aldh1a3	50,50,100,79,90,60,0,41
ENSMUSG00000074794	9.3	Arrdc3	2,20,75,100,14,29,5,0
ENSMUSG00000016477	9.3	E2f3	0,54,34,100,61,46,27,1
ENSMUSG00000041671	9.3	Pyroxd1	14,40,92,100,68,25,0,18
ENSMUSG00000006335	9.3	Tfpt	47,54,100,91,94,76,0,20
ENSMUSG00000041143	9.3	Tmco4	23,39,92,100,73,48,20,0
ENSMUSG00000028797	9.4	2510006D16Rik	21,50,55,60,100,50,1,0
ENSMUSG00000046312	9.4	AI464131	31,5,100,62,62,4,8,0
ENSMUSG00000032204	9.4	Aqp9	17,35,63,100,48,0,15,2
ENSMUSG00000078670	9.4	Fam174b	0,68,98,100,78,57,23,32
ENSMUSG00000054191	9.4	Klf1	19,51,85,100,57,34,0,17
ENSMUSG00000029189	9.4	Sel1l3	19,44,44,100,49,48,30,0
ENSMUSG00000027340	9.4	Slc23a2	0,52,100,95,62,19,31,19
ENSMUSG00000042121	9.4	Ssh1	8,31,70,100,24,13,29,0
ENSMUSG00000044991	9.5	1110034G24Rik	0,45,97,68,67,100,21,5
ENSMUSG00000074925	9.5	AC134830.1	4,50,46,100,60,28,41,0
ENSMUSG00000070690	9.5	AC135240.1	20,37,84,100,43,28,0,18
ENSMUSG00000029033	9.5	Acap3	1,9,100,57,40,14,28,0
ENSMUSG00000059714	9.5	Flot1	13,47,100,85,88,38,0,11
ENSMUSG00000031640	9.5	Klkb1	26,35,52,100,44,0,19,9
ENSMUSG00000029470	9.5	P2rx4	10,62,79,100,65,20,0,22
ENSMUSG00000036529	9.5	Sbf1	0,80,94,100,83,76,46,48
ENSMUSG00000029233	9.5	Srd5a3	0,15,100,55,42,20,27,1
ENSMUSG00000025384	9.6	2310003H01Rik	13,42,71,100,39,12,0,19
ENSMUSG00000024893	9.6	2700046G09Rik	0,60,57,100,49,41,3,20
ENSMUSG00000085184	9.6	AC121551.1	34,22,84,100,62,51,15,0
ENSMUSG00000042742	9.6	AC139884.2	0,47,86,100,80,23,48,6
ENSMUSG00000085772	9.6	AL662793.3	0,81,99,95,100,50,0,37
ENSMUSG00000037686	9.6	Aspg	27,36,93,100,57,11,0,27
ENSMUSG00000027863	9.6	Cd2	27,27,100,48,88,68,29,0
ENSMUSG00000029521	9.6	Chek2	15,41,64,100,56,59,0,5
ENSMUSG00000024008	9.6	Cpne5	16,22,99,100,52,55,15,0
ENSMUSG00000062209	9.6	Erbb4	11,22,65,100,32,21,0,4
ENSMUSG00000028878	9.6	Fam76a	0,74,100,86,69,66,6,34
ENSMUSG00000006538	9.6	Ihh	7,65,69,100,82,27,0,24
ENSMUSG00000023826	9.6	Park2	33,32,51,100,67,37,0,0
ENSMUSG00000066043	9.6	Phactr4	0,32,71,100,46,49,53,29
ENSMUSG00000047496	9.6	Rnf152	4,27,85,100,18,0,25,0
ENSMUSG00000039878	9.6	Slc39a5	0,41,78,75,54,100,39,12
ENSMUSG00000032715	9.6	Trib3	0,22,93,100,21,5,7,8
ENSMUSG00000069601	9.7	Ank3	17,25,45,100,25,10,11,0
ENSMUSG00000074240	9.7	Cib3	24,32,83,100,59,42,16,0
ENSMUSG00000054499	9.7	Dedd2	26,30,53,100,36,26,0,17
ENSMUSG00000052861	9.7	Dnahc6	40,65,65,97,100,28,0,36
ENSMUSG00000013787	9.7	Ehmt2	0,18,100,79,31,14,27,2
ENSMUSG00000013833	9.7	Med16	26,43,100,80,53,34,0,40
ENSMUSG00000040247	9.7	Tbc1d10c	0,15,100,68,45,88,0,2
ENSMUSG00000028402	9.8	Mpdz	2,48,68,100,23,11,0,25
ENSMUSG00000040022	9.8	Rab11fip2	0,63,69,86,100,71,66,55
ENSMUSG00000026970	9.8	Rbms1	9,50,94,100,52,47,0,35
ENSMUSG00000015653	9.8	Steap2	0,43,97,100,97,38,44,12
ENSMUSG00000034412	9.8	Tbc1d10a	7,0,100,77,20,17,4,4
ENSMUSG00000026956	9.8	Uap1l1	31,60,99,100,54,71,0,48
ENSMUSG00000056459	9.8	Zbtb25	0,42,57,100,50,29,51,16
ENSMUSG00000033701	9.9	Acbd6	0,48,50,100,33,72,2,17
ENSMUSG00000028789	9.9	Adc	0,15,93,78,100,1,34,7
ENSMUSG00000059439	9.9	Bcas3	27,47,57,82,100,0,20,16
ENSMUSG00000023861	9.9	Brp44l	33,32,100,93,87,88,38,0
ENSMUSG00000032515	9.9	Csrnp1	60,47,65,100,98,57,54,0
ENSMUSG00000058729	9.9	Lin9	26,24,75,100,51,0,12,23
ENSMUSG00000031861	9.9	Lpar2	8,5,96,100,47,22,3,0
ENSMUSG00000030339	9.9	Ltbr	13,32,75,100,70,44,8,0
ENSMUSG00000025764	9.9	Phf17	4,3,77,100,35,12,6,0
ENSMUSG00000040158	9.9	Tax1bp3	0,50,50,100,45,34,3,22
ENSMUSG00000021569	9.9	Trip13	12,19,79,100,71,0,7,0
ENSMUSG00000051747	9.9	Ttn	0,47,100,63,75,45,5,37
ENSMUSG00000066357	9.9	Wdr6	0,31,77,100,77,0,9,4
ENSMUSG00000079429	10.0	AC087780.1	8,15,48,100,38,58,8,0
ENSMUSG00000053906	10.0	AL663030.2	0,24,100,66,61,99,34,9
ENSMUSG00000086329	10.0	AL808128.2	14,47,55,100,47,0,16,23
ENSMUSG00000079185	10.0	C030027K23Rik	36,38,58,100,69,50,41,0
ENSMUSG00000024544	10.0	D18Ertd653e	17,40,100,98,74,0,5,33
ENSMUSG00000008090	10.0	Fgfrl1	0,6,77,100,68,4,14,0
ENSMUSG00000059005	10.0	Hnrnpa3	0,64,100,81,83,22,53,34
ENSMUSG00000031295	10.0	Phka2	37,17,73,100,51,29,0,19
ENSMUSG00000036833	10.0	Pnpla7	37,49,100,91,61,52,0,54
ENSMUSG00000013236	10.0	Ptprs	19,40,85,100,32,5,0,39
ENSMUSG00000022075	10.0	Rhobtb2	0,24,81,100,45,58,40,31
ENSMUSG00000032261	10.0	Sh3bgrl2	0,41,61,100,58,22,45,18
ENSMUSG00000028082	10.0	Sh3d19	0,38,81,100,57,12,9,13
ENSMUSG00000017002	10.0	Slpi	3,52,59,74,100,31,0,15
ENSMUSG00000023045	10.0	Soat2	1,24,100,93,56,21,0,11
ENSMUSG00000045377	10.0	Tmem88	35,32,72,100,84,42,0,21
ENSMUSG00000044949	10.0	Ubtd2	16,26,94,58,95,100,16,0
ENSMUSG00000047466	10.1	8030462N17Rik	45,29,59,100,77,47,17,0
ENSMUSG00000082210	10.1	AC124531.1	13,71,36,74,100,84,9,0
ENSMUSG00000040327	10.1	Cul9	0,23,100,63,37,36,0,23
ENSMUSG00000042377	10.1	Fam83g	0,75,100,83,78,53,0,46
ENSMUSG00000034707	10.1	Gns	3,20,56,100,56,33,12,0
ENSMUSG00000004341	10.1	Gpx6	25,83,79,100,88,34,0,69
ENSMUSG00000024580	10.1	Grpel2	0,20,87,100,49,12,36,9
ENSMUSG00000018395	10.1	Kif3a	0,63,100,82,89,1,2,46
ENSMUSG00000024992	10.1	Pde6c	5,22,98,100,33,29,0,15
ENSMUSG00000055782	10.2	Abcd2	16,0,100,92,90,26,7,1
ENSMUSG00000047166	10.2	AC116520.1	5,12,55,100,78,15,43,0
ENSMUSG00000059288	10.2	Cdyl	1,35,66,78,100,0,35,15
ENSMUSG00000068742	10.2	Cry2	0,35,82,100,71,53,54,47
ENSMUSG00000040857	10.2	Erf	0,22,96,100,39,4,25,13
ENSMUSG00000005540	10.2	Fcer2a	13,38,100,79,44,0,1,63
ENSMUSG00000024429	10.2	Gnal1	47,50,60,93,100,62,0,23
ENSMUSG00000045625	10.2	Pigz	1,2,72,100,33,84,8,0
ENSMUSG00000027346	10.2	Prei4	4,35,51,89,100,16,0,6
ENSMUSG00000025212	10.2	Sfxn3	0,16,43,100,39,25,9,1
ENSMUSG00000037003	10.2	Tenc1	0,14,88,100,40,19,15,2
ENSMUSG00000021013	10.2	Ttc8	0,75,86,100,75,29,22,41
ENSMUSG00000047412	10.2	Zbtb44	13,28,82,100,87,0,25,15
ENSMUSG00000020865	10.3	Abcc3	11,9,71,100,41,32,6,0
ENSMUSG00000074466	10.3	AC171273.1	0,29,98,100,77,64,33,41
ENSMUSG00000026571	10.3	Dcaf6	20,10,100,95,65,0,17,13
ENSMUSG00000034731	10.3	Dgkh	6,0,100,71,91,49,5,4
ENSMUSG00000019528	10.3	Gyg	0,29,55,100,50,17,34,7
ENSMUSG00000040612	10.3	Ildr2	0,62,78,74,100,95,43,37
ENSMUSG00000032818	10.3	Loxhd1	0,10,100,47,95,54,0,7
ENSMUSG00000041679	10.3	Lrrc29	14,30,100,95,61,7,0,39
ENSMUSG00000000631	10.3	Myo18a	0,7,49,100,62,25,22,2
ENSMUSG00000044442	10.3	N6amt1	5,44,100,67,62,0,22,46
ENSMUSG00000003458	10.3	Ncstn	0,85,86,100,75,2,3,68
ENSMUSG00000067889	10.3	Spnb3	6,28,95,100,20,0,13,33
ENSMUSG00000075216	10.4	AC140402.1	0,21,52,100,80,27,56,0
ENSMUSG00000042429	10.4	Adora1	10,7,55,100,51,38,6,0
ENSMUSG00000082575	10.4	AL611982.1	51,48,37,100,99,42,11,0
ENSMUSG00000036390	10.4	Gadd45a	0,25,49,100,46,4,25,7
ENSMUSG00000038843	10.4	Gcnt1	13,50,61,67,68,100,52,0
ENSMUSG00000014850	10.4	Msh3	19,48,69,100,52,0,33,40
ENSMUSG00000021775	10.4	Nr1d2	0,19,60,100,66,26,26,5
ENSMUSG00000042323	10.4	Pbrm1	0,27,76,100,52,0,7,20
ENSMUSG00000034177	10.4	Rnf43	13,0,56,100,29,40,22,0
ENSMUSG00000030468	10.4	Siglecg	0,0,100,66,70,85,5,6
ENSMUSG00000005107	10.4	Slc2a9	0,21,79,100,75,12,23,16
ENSMUSG00000032481	10.4	Smarcc1	18,52,81,100,49,0,21,55
ENSMUSG00000060548	10.4	Tnfrsf19	4,11,88,100,87,37,24,0
ENSMUSG00000050379	10.5	6-Sep	0,47,68,63,81,100,45,56
ENSMUSG00000054150	10.5	4831426I19Rik	9,4,66,100,66,34,47,0
ENSMUSG00000024887	10.5	Asah2	0,11,43,100,49,17,11,0
ENSMUSG00000079168	10.5	Cd209g	6,0,80,56,100,2,6,1
ENSMUSG00000045103	10.5	Dmd	0,50,58,100,82,94,72,56
ENSMUSG00000034774	10.5	Dsg1c	0,0,74,71,100,31,17,2
ENSMUSG00000061175	10.5	Fnip2	0,4,40,100,48,15,50,0
ENSMUSG00000025156	10.5	Gps1	30,58,68,65,100,72,72,0
ENSMUSG00000036890	10.5	Gtdc1	0,48,52,100,76,55,35,43
ENSMUSG00000003949	10.5	Hlf	0,0,76,100,50,71,54,34
ENSMUSG00000027296	10.5	Itpka	45,24,69,94,100,48,0,14
ENSMUSG00000029195	10.5	Klb	0,15,77,100,39,17,28,14
ENSMUSG00000027999	10.5	Pla2g12a	15,4,100,86,88,36,13,0
ENSMUSG00000048271	10.5	Prr8	5,34,82,100,46,0,37,19
ENSMUSG00000010064	10.5	Slc38a3	0,20,58,100,73,26,2,9
ENSMUSG00000075511	10.6	1700001L05Rik	10,2,67,100,47,50,20,0
ENSMUSG00000045071	10.6	E130308A19Rik	6,0,54,100,23,46,27,0
ENSMUSG00000028479	10.6	Gne	0,17,51,100,69,6,15,11
ENSMUSG00000022801	10.6	Lrch3	0,46,73,100,73,94,36,60
ENSMUSG00000042688	10.6	Mapk6	7,19,76,100,54,0,21,18
ENSMUSG00000059474	10.6	Mbtd1	0,29,66,100,55,7,27,22
ENSMUSG00000001911	10.6	Nfix	21,15,43,100,50,36,31,0
ENSMUSG00000016619	10.6	Nup50	35,34,76,100,88,30,0,39
ENSMUSG00000070889	10.6	Pgap1	8,10,66,100,76,50,8,0
ENSMUSG00000030055	10.6	Rab43	1,0,72,100,97,18,28,16
ENSMUSG00000032908	10.6	Sgpp2	0,54,37,76,100,39,46,39
ENSMUSG00000017765	10.6	Slc12a4	0,50,49,70,100,54,52,6
ENSMUSG00000029512	10.6	Ulk1	0,45,100,88,72,0,22,39
ENSMUSG00000001418	10.7	0610031J06Rik	0,23,59,100,37,38,3,18
ENSMUSG00000051339	10.7	2900026A02Rik	0,5,65,100,28,29,13,23
ENSMUSG00000025194	10.7	Abcc2	0,18,44,100,63,18,30,14
ENSMUSG00000024254	10.7	Abcg8	0,12,59,100,57,10,5,13
ENSMUSG00000072682	10.7	AL607072.1	0,30,77,98,100,72,38,29
ENSMUSG00000022620	10.7	Arsa	12,12,91,100,40,23,0,24
ENSMUSG00000035914	10.7	Cd276	17,34,75,80,100,67,0,20
ENSMUSG00000035992	10.7	Fnip1	0,33,76,100,46,11,27,32
ENSMUSG00000042535	10.7	Gtpbp1	19,31,100,77,85,27,0,55
ENSMUSG00000035397	10.7	Klf16	5,0,64,100,84,8,23,5
ENSMUSG00000040699	10.7	Limd2	20,26,71,100,78,70,0,15
ENSMUSG00000028991	10.7	Mtor	0,30,90,100,55,22,15,37
ENSMUSG00000022762	10.7	Ncam2	0,20,43,100,43,53,6,26
ENSMUSG00000021745	10.7	Ptprg	0,30,88,100,91,31,54,35
ENSMUSG00000039865	10.7	Slc44a3	0,35,44,100,63,18,0,25
ENSMUSG00000041272	10.7	Tox	0,9,100,70,72,71,0,35
ENSMUSG00000024420	10.7	Zfp521	31,23,46,100,82,33,12,0
ENSMUSG00000030256	10.8	Bhlhe41	0,2,49,100,36,25,7,9
ENSMUSG00000021097	10.8	Clmn	0,6,57,100,69,4,24,2
ENSMUSG00000017132	10.8	Cyth1	1,35,52,100,92,79,0,17
ENSMUSG00000038022	10.8	Fam188b	0,28,44,100,31,18,18,18
ENSMUSG00000023021	10.8	Lass5	21,18,78,81,64,100,0,37
ENSMUSG00000038349	10.8	Plcl1	37,20,63,100,57,63,0,17
ENSMUSG00000021720	10.8	Rnf180	17,0,72,100,46,63,31,16
ENSMUSG00000033256	10.8	Shf	0,19,93,87,100,2,9,33
ENSMUSG00000038780	10.8	Smurf1	0,19,62,100,77,9,39,16
ENSMUSG00000042446	10.8	Zmym4	0,73,66,100,84,39,32,57
ENSMUSG00000076036	10.9	AC151602.1	0,13,31,100,58,48,36,1
ENSMUSG00000084839	10.9	AL935270.2	0,16,78,91,100,52,10,23
ENSMUSG00000030309	10.9	Caprin2	18,16,63,100,46,22,0,19
ENSMUSG00000037580	10.9	Gch1	19,18,60,100,87,17,0,13
ENSMUSG00000024143	10.9	Rhoq	31,0,69,100,70,36,33,12
ENSMUSG00000041135	10.9	Ripk2	3,0,53,100,76,37,12,16
ENSMUSG00000049800	10.9	Sertad2	11,17,44,100,72,30,31,0
ENSMUSG00000052302	10.9	Tbc1d30	0,18,55,100,39,16,5,25
ENSMUSG00000037458	11.0	Azin1	0,33,27,100,60,51,34,25
ENSMUSG00000031714	11.0	Gab1	0,28,53,80,100,39,39,43
ENSMUSG00000041642	11.0	Kif21b	0,35,42,100,83,66,34,9
ENSMUSG00000073700	11.0	Klhl21	12,10,70,100,55,0,5,19
ENSMUSG00000021687	11.0	Scamp1	13,31,54,100,58,0,26,27
ENSMUSG00000038485	11.0	Socs7	0,4,52,100,54,6,4,20
ENSMUSG00000023122	11.0	Sult1c2	0,14,56,100,59,16,3,22
ENSMUSG00000031365	11.0	Zfp275	0,20,44,100,73,61,25,30
ENSMUSG00000027016	11.0	Zfp385b	0,21,53,100,74,52,40,30
ENSMUSG00000053080	11.1	2700081O15Rik	0,16,72,72,100,76,2,26
ENSMUSG00000086771	11.1	AL627327.2	21,30,49,100,81,59,36,0
ENSMUSG00000017390	11.1	Aldoc	10,14,47,100,55,43,0,31
ENSMUSG00000037370	11.1	Enpp1	0,15,53,93,100,48,14,9
ENSMUSG00000027207	11.1	Galk2	35,25,90,84,70,100,74,0
ENSMUSG00000033318	11.1	Gstt2	6,0,69,100,67,69,10,20
ENSMUSG00000022177	11.1	Haus4	0,36,68,100,62,25,28,38
ENSMUSG00000000568	11.1	Hnrnpd	0,14,41,100,56,43,20,26
ENSMUSG00000024213	11.1	Nudt3	25,25,68,100,77,26,0,41
ENSMUSG00000020131	11.1	Pcsk4	0,6,62,87,100,42,14,19
ENSMUSG00000017754	11.1	Pltp	14,6,81,81,100,70,0,19
ENSMUSG00000017969	11.1	Ptgis	0,29,52,65,64,100,22,13
ENSMUSG00000034748	11.1	Sirt6	3,28,15,100,61,22,0,14
ENSMUSG00000021198	11.1	Unc79	13,0,94,100,94,47,61,2
ENSMUSG00000027433	11.1	Xrn2	0,54,65,100,57,22,37,49
ENSMUSG00000034610	11.1	Zcchc11	0,20,50,85,100,14,1,20
ENSMUSG00000085211	11.2	AC159137.1	9,41,10,100,89,45,38,0
ENSMUSG00000022994	11.2	Adcy6	8,0,84,100,80,22,17,19
ENSMUSG00000059824	11.2	Dbp	13,0,41,100,62,11,0,4
ENSMUSG00000019320	11.2	Noxo1	7,0,83,67,88,100,9,3
ENSMUSG00000032311	11.2	Nrg4	0,35,52,96,100,95,89,69
ENSMUSG00000040596	11.2	Pogk	0,26,52,45,100,42,40,12
ENSMUSG00000031596	11.2	Slc7a2	3,8,41,100,71,0,11,13
ENSMUSG00000027796	11.2	Smad9	0,11,56,76,100,22,18,19
ENSMUSG00000078152	11.3	AL606479.4	28,40,33,67,100,36,38,0
ENSMUSG00000048186	11.3	Bend7	0,42,94,100,88,32,52,58
ENSMUSG00000033031	11.3	C330027C09Rik	0,29,14,100,95,29,28,9
ENSMUSG00000025788	11.3	Chd2	0,62,32,98,80,100,47,35
ENSMUSG00000061292	11.3	Cyp3a59	0,13,53,100,76,52,28,49
ENSMUSG00000022425	11.3	Enpp2	0,12,36,100,81,43,27,11
ENSMUSG00000029859	11.3	Epha1	7,0,55,100,56,70,14,14
ENSMUSG00000032860	11.3	P2ry2	30,0,73,100,88,32,19,29
ENSMUSG00000025880	11.3	Smad7	0,22,51,100,81,73,23,20
ENSMUSG00000039976	11.3	Tbc1d16	2,23,41,100,84,82,0,4
ENSMUSG00000043587	11.4	Acpl2	12,13,27,100,95,36,9,0
ENSMUSG00000027381	11.4	Bcl2l11	0,1,75,100,94,78,33,64
ENSMUSG00000071691	11.4	Gm960	30,19,80,89,100,96,0,21
ENSMUSG00000050069	11.4	Grem2	3,19,36,52,100,24,18,0
ENSMUSG00000052566	11.4	Hook2	19,0,62,92,100,34,33,22
ENSMUSG00000025396	11.4	Hsd17b6	0,18,60,100,86,100,32,34
ENSMUSG00000029247	11.4	Paics	17,0,81,100,94,73,63,6
ENSMUSG00000001995	11.4	Sipa1l2	32,15,38,100,56,47,34,0
ENSMUSG00000021188	11.4	Trip11	0,44,35,43,100,59,20,20
ENSMUSG00000028041	11.5	Adam15	8,25,31,100,86,24,68,0
ENSMUSG00000072964	11.5	Bhlhb9	36,25,44,67,100,45,8,0
ENSMUSG00000030421	11.5	C80913	0,6,48,100,72,0,19,26
ENSMUSG00000006715	11.5	Gmnn	0,12,51,100,80,41,17,25
ENSMUSG00000026259	11.5	Ngef	0,13,32,100,72,22,32,13
ENSMUSG00000040430	11.5	Pitpnc1	0,16,37,100,65,75,79,7
ENSMUSG00000024533	11.5	Spire1	0,5,65,100,65,21,12,36
ENSMUSG00000048546	11.5	Tob2	11,0,46,100,85,24,18,21
ENSMUSG00000040505	11.6	Abcg5	8,0,48,95,100,41,19,5
ENSMUSG00000079488	11.6	AC107830.1	66,17,76,99,100,67,54,0
ENSMUSG00000032363	11.6	Adamts7	6,0,50,100,50,60,27,16
ENSMUSG00000061758	11.6	Akr1b10	31,52,38,100,73,88,69,0
ENSMUSG00000083688	11.6	AL929312.4	8,0,29,100,67,56,6,3
ENSMUSG00000056174	11.6	Col8a2	31,23,71,91,100,68,0,41
ENSMUSG00000021259	11.6	Cyp46a1	0,0,75,86,89,100,31,62
ENSMUSG00000048756	11.6	Foxo3	0,9,35,100,63,36,39,30
ENSMUSG00000061436	11.6	Hipk2	5,0,64,80,100,42,28,34
ENSMUSG00000037465	11.6	Klf10	19,9,28,100,66,63,0,0
ENSMUSG00000000056	11.6	Narf	5,7,33,87,100,11,0,11
ENSMUSG00000030800	11.6	Prss8	0,0,33,100,85,37,11,30
ENSMUSG00000070867	11.6	RP23-309K20.1	33,11,73,84,100,53,0,33
ENSMUSG00000036019	11.6	Tmtc2	28,0,73,100,78,90,15,3
ENSMUSG00000029591	11.6	Ung	16,25,42,78,100,63,9,0
ENSMUSG00000053208	11.7	AC125148.1	13,8,67,67,100,63,0,49
ENSMUSG00000024899	11.7	Papss2	0,0,43,100,83,26,24,24
ENSMUSG00000034248	11.7	Slc25a37	0,0,29,100,84,53,33,12
ENSMUSG00000030237	11.7	Slco1a4	3,0,44,100,85,37,23,5
ENSMUSG00000037885	11.7	Stk35	10,0,51,96,100,20,35,17
ENSMUSG00000035864	11.7	Syt1	4,20,65,100,43,47,0,45
ENSMUSG00000039238	11.7	Zfp750	0,10,47,80,100,69,53,63
ENSMUSG00000085971	11.8	AC158782.2	25,24,51,100,89,66,0,33
ENSMUSG00000040620	11.8	Dhx33	34,44,38,83,100,65,50,0
ENSMUSG00000028341	11.8	Nr4a3	38,0,74,100,72,77,45,25
ENSMUSG00000027690	11.8	Slc2a2	7,0,34,100,89,50,33,15
ENSMUSG00000037827	11.8	Tom1	28,24,58,81,100,94,15,0
ENSMUSG00000020262	11.9	Adarb1	5,0,43,100,90,79,54,7
ENSMUSG00000074622	11.9	Mafb	0,8,27,66,100,34,11,12
ENSMUSG00000040584	12.0	Abcb1a	0,3,38,33,100,26,25,12
ENSMUSG00000040659	12.0	Efhd2	0,28,38,70,100,83,20,25
ENSMUSG00000045216	12.0	Hs6st1	12,0,47,71,100,34,4,17
ENSMUSG00000041161	12.0	Otud3	25,67,28,72,100,87,49,0
ENSMUSG00000060807	12.0	Serpina6	8,0,44,94,100,64,29,24
ENSMUSG00000022389	12.0	Tef	1,0,40,100,92,56,45,23
ENSMUSG00000028826	12.0	Tmem57	0,2,39,73,100,42,40,14
ENSMUSG00000000811	12.0	Txnrd3	0,5,76,100,80,10,5,44
ENSMUSG00000032808	12.1	Cyp2c38	49,0,97,95,100,83,49,45
ENSMUSG00000039275	12.1	Foxk2	14,11,30,65,100,48,21,0
ENSMUSG00000075249	12.1	Fsip2	0,32,56,37,100,64,77,1
ENSMUSG00000033249	12.1	Hsf4	0,17,30,69,100,79,55,58
ENSMUSG00000022025	12.1	Lect1	23,0,49,73,100,36,36,15
ENSMUSG00000038582	12.1	Pptc7	5,0,28,84,100,35,37,1
ENSMUSG00000017491	12.1	Rarb	0,34,32,69,100,53,81,17
ENSMUSG00000029833	12.1	Trim24	0,25,34,46,100,58,49,15
ENSMUSG00000031976	12.1	Urb2	0,8,40,70,100,42,22,43
ENSMUSG00000082178	12.2	AL645686.4	0,4,66,59,100,95,60,52
